=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 7700/76293  loss=5.3134  tokens=0.505B  elapsed=1071s
  step 7800/76293  loss=5.3062  tokens=0.511B  elapsed=1083s
  step 7900/76293  loss=5.4261  tokens=0.518B  elapsed=1097s
  step 8000/76293  loss=5.3193  tokens=0.524B  elapsed=1110s
  step 8100/76293  loss=5.3564  tokens=0.531B  elapsed=1121s
  step 8200/76293  loss=5.3482  tokens=0.537B  elapsed=1135s
  step 8300/76293  loss=5.3877  tokens=0.544B  elapsed=1149s
  step 8400/76293  loss=5.3204  tokens=0.551B  elapsed=1160s
  step 8500/76293  loss=5.4752  tokens=0.557B  elapsed=1172s
  step 8600/76293  loss=5.3287  tokens=0.564B  elapsed=1186s
  step 8700/76293  loss=5.3234  tokens=0.570B  elapsed=1198s
  step 8800/76293  loss=5.2739  tokens=0.577B  elapsed=1211s
  step 8900/76293  loss=5.3225  tokens=0.583B  elapsed=1223s
  step 9000/76293  loss=5.4272  tokens=0.590B  elapsed=1236s
  step 9100/76293  loss=5.3187  tokens=0.596B  elapsed=1248s
  step 9200/76293  loss=5.3394  tokens=0.603B  elapsed=1261s
  step 9300/76293  loss=5.2311  tokens=0.609B  elapsed=1273s
  step 9400/76293  loss=5.2372  tokens=0.616B  elapsed=1286s
  step 9500/76293  loss=5.2483  tokens=0.623B  elapsed=1300s
  step 9600/76293  loss=5.3378  tokens=0.629B  elapsed=1312s
  step 9700/76293  loss=5.2142  tokens=0.636B  elapsed=1324s
  step 9800/76293  loss=5.2832  tokens=0.642B  elapsed=1336s
  step 9900/76293  loss=5.2863  tokens=0.649B  elapsed=1350s
  step 10000/76293  loss=5.3019  tokens=0.655B  elapsed=1363s

  [step 10000, 0.66B tokens] induction_score=-0.0025 1st=9.9845 2nd=9.9870 toy_acc=0.000196 (0.0196%)
  step 10100/76293  loss=5.2424  tokens=0.662B  elapsed=1377s
  step 10200/76293  loss=5.3047  tokens=0.668B  elapsed=1390s
  step 10300/76293  loss=5.3518  tokens=0.675B  elapsed=1402s
  step 10400/76293  loss=5.3044  tokens=0.682B  elapsed=1414s
  step 10500/76293  loss=5.3481  tokens=0.688B  elapsed=1428s
  step 10600/76293  loss=5.3995  tokens=0.695B  elapsed=1441s
  step 10700/76293  loss=5.3204  tokens=0.701B  elapsed=1454s
  step 10800/76293  loss=5.3272  tokens=0.708B  elapsed=1464s
  step 10900/76293  loss=5.2805  tokens=0.714B  elapsed=1477s
  step 11000/76293  loss=5.2389  tokens=0.721B  elapsed=1489s
  step 11100/76293  loss=5.1905  tokens=0.727B  elapsed=1500s
  step 11200/76293  loss=5.2977  tokens=0.734B  elapsed=1512s
  step 11300/76293  loss=5.3371  tokens=0.741B  elapsed=1523s
  step 11400/76293  loss=5.3460  tokens=0.747B  elapsed=1535s
  step 11500/76293  loss=5.1882  tokens=0.754B  elapsed=1546s
