=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  [step 7500, 0.37B tokens] induction_score=-0.0191 1st=10.4281 2nd=10.4472 toy_acc=0.000392 (0.0392%)
  step 7600/101725  loss=5.1768  tokens=0.374B  elapsed=818s
  step 7700/101725  loss=5.1086  tokens=0.378B  elapsed=829s
  step 7800/101725  loss=5.1857  tokens=0.383B  elapsed=839s
  step 7900/101725  loss=5.1778  tokens=0.388B  elapsed=850s
  step 8000/101725  loss=5.2997  tokens=0.393B  elapsed=860s
  step 8100/101725  loss=5.0894  tokens=0.398B  elapsed=870s
  step 8200/101725  loss=5.2735  tokens=0.403B  elapsed=880s
  step 8300/101725  loss=5.3927  tokens=0.408B  elapsed=890s
  step 8400/101725  loss=5.2372  tokens=0.413B  elapsed=901s
  step 8500/101725  loss=5.2865  tokens=0.418B  elapsed=911s
  step 8600/101725  loss=5.2215  tokens=0.423B  elapsed=921s
  step 8700/101725  loss=5.2004  tokens=0.428B  elapsed=932s
  step 8800/101725  loss=5.1199  tokens=0.433B  elapsed=941s
  step 8900/101725  loss=5.2632  tokens=0.437B  elapsed=950s
  step 9000/101725  loss=5.2457  tokens=0.442B  elapsed=960s
  step 9100/101725  loss=5.1020  tokens=0.447B  elapsed=969s
  step 9200/101725  loss=5.4158  tokens=0.452B  elapsed=978s
  step 9300/101725  loss=5.2223  tokens=0.457B  elapsed=988s
  step 9400/101725  loss=5.1212  tokens=0.462B  elapsed=997s
  step 9500/101725  loss=5.1299  tokens=0.467B  elapsed=1007s
  step 9600/101725  loss=5.1320  tokens=0.472B  elapsed=1018s
  step 9700/101725  loss=5.1175  tokens=0.477B  elapsed=1029s
  step 9800/101725  loss=5.1539  tokens=0.482B  elapsed=1039s
  step 9900/101725  loss=5.2990  tokens=0.487B  elapsed=1050s
  step 10000/101725  loss=5.1157  tokens=0.492B  elapsed=1060s

  [step 10000, 0.49B tokens] induction_score=-0.0199 1st=10.3378 2nd=10.3576 toy_acc=0.000353 (0.0353%)
  step 10100/101725  loss=5.1013  tokens=0.496B  elapsed=1069s
  step 10200/101725  loss=5.1944  tokens=0.501B  elapsed=1078s
  step 10300/101725  loss=5.0979  tokens=0.506B  elapsed=1087s
  step 10400/101725  loss=5.1335  tokens=0.511B  elapsed=1095s
  step 10500/101725  loss=5.0824  tokens=0.516B  elapsed=1104s
  step 10600/101725  loss=5.1229  tokens=0.521B  elapsed=1115s
  step 10700/101725  loss=5.1068  tokens=0.526B  elapsed=1125s
  step 10800/101725  loss=5.1329  tokens=0.531B  elapsed=1134s
  step 10900/101725  loss=5.0885  tokens=0.536B  elapsed=1144s
  step 11000/101725  loss=5.1611  tokens=0.541B  elapsed=1154s
  step 11100/101725  loss=5.0906  tokens=0.546B  elapsed=1164s
  step 11200/101725  loss=5.0997  tokens=0.551B  elapsed=1172s
  step 11300/101725  loss=5.2069  tokens=0.555B  elapsed=1182s
  step 11400/101725  loss=5.1481  tokens=0.560B  elapsed=1192s
  step 11500/101725  loss=5.0419  tokens=0.565B  elapsed=1202s
  step 11600/101725  loss=5.1082  tokens=0.570B  elapsed=1211s
  step 11700/101725  loss=5.1098  tokens=0.575B  elapsed=1222s
  step 11800/101725  loss=5.0084  tokens=0.580B  elapsed=1231s
  step 11900/101725  loss=5.0403  tokens=0.585B  elapsed=1240s
  step 12000/101725  loss=5.2788  tokens=0.590B  elapsed=1249s
  step 12100/101725  loss=5.0688  tokens=0.595B  elapsed=1258s
  step 12200/101725  loss=5.1369  tokens=0.600B  elapsed=1267s
  step 12300/101725  loss=5.1151  tokens=0.605B  elapsed=1277s
  step 12400/101725  loss=5.0317  tokens=0.609B  elapsed=1287s
  step 12500/101725  loss=5.0359  tokens=0.614B  elapsed=1296s

  [step 12500, 0.61B tokens] induction_score=-0.0154 1st=10.1759 2nd=10.1914 toy_acc=0.000275 (0.0275%)
  step 12600/101725  loss=5.1132  tokens=0.619B  elapsed=1305s
  step 12700/101725  loss=5.0865  tokens=0.624B  elapsed=1314s
  step 12800/101725  loss=5.2161  tokens=0.629B  elapsed=1323s
  step 12900/101725  loss=5.0136  tokens=0.634B  elapsed=1333s
  step 13000/101725  loss=5.0725  tokens=0.639B  elapsed=1343s
