path,direct,layer1,00000,00001,00010,00011,00100,00101,00110,00111,01000,01001,01010,01011,01100,01101,01110,01111,10000,10001,10010,10011,10100,10101,10110,10111,11000,11001,11010,11011,11100,11101,11110,11111
direct,4.47743141067,1081.84102033,-39.1994057734,-7121.80545581,25845.8163889,3128552.02515,-7121.80545581,-14911857.6107,16158458.95,7222796955.15,25845.8163889,16158458.95,-83350915.4271,-10234491267,3128552.02515,7222796955.15,-10234491267,-8.97246177023e+12,-23978.6474292,-9004528.94222,20570465.1622,5059658611.66,-9004528.94222,-24126586859.3,20868826959,1.84213064367e+13,20570465.1622,20868826959,-80812535078.9,-1.53481062992e+13,5059658611.66,1.84213064367e+13,-1.53481062992e+13,-1.89045550692e+16
layer1,1081.84102033,6960782.34494,-12531.2401669,149366.525967,7000832.91765,-1459944168.18,149366.525967,-6502562627.3,5703893261.11,4.47376708443e+12,7000832.91765,5703893261.11,-40419525430.9,-3.75695951755e+12,-1459944168.18,4.47376708443e+12,-3.75695951755e+12,-6.21494886067e+15,-66440606.4802,-11053647945.6,57175967857.6,1.10220163074e+13,-11053647945.6,-3.56139592548e+13,3.20754255128e+13,2.54495106072e+16,57175967857.6,3.20754255128e+13,-2.0039769151e+14,-3.07692542935e+16,1.10220163074e+13,2.54495106072e+16,-3.07692542935e+16,-4.21908747219e+19
00000,-39.1994057734,-12531.2401669,77365.8580833,-9568522.09112,-30509086.9885,1356987918.52,-9568522.09112,7045200792.14,2662494496.96,-1.58334781621e+12,-30509086.9885,2662494496.96,27114037431.6,-730651472051,1356987918.52,-1.58334781621e+12,-730651472051,9.9085992929e+14,39922103.8916,-6201835034.48,-23297868330.5,2.07670861474e+12,-6201835034.48,3.79829868763e+12,3.63123511061e+12,-1.45860857432e+15,-23297868330.5,3.63123511061e+12,2.00188196854e+13,-1.53390583289e+15,2.07670861474e+12,-1.45860857432e+15,-1.53390583289e+15,8.98339147557e+17
00001,-7121.80545581,149366.525967,-9568522.09112,7002147968.32,2709806150.47,-1.55124051865e+12,7002147968.32,-1.83840477378e+12,-3.13307025902e+12,2.90160646408e+14,2709806150.47,-3.13307025902e+12,-1.20788199012e+12,1.38389353863e+15,-1.55124051865e+12,2.90160646408e+14,1.38389353863e+15,-1.34632642972e+17,-6319995064.36,3.66532267744e+12,3.83328341241e+12,-1.3569457492e+15,3.66532267744e+12,-1.38731240135e+15,-2.21500827547e+15,5.49933370951e+17,3.83328341241e+12,-2.21500827547e+15,-3.05070722835e+15,1.05926080596e+18,-1.3569457492e+15,5.49933370951e+17,1.05926080596e+18,-3.27669661367e+20
00010,25845.8163889,7000832.91765,-30509086.9885,2709806150.47,27075172543.5,-763931412702,2709806150.47,-3.17515432372e+12,-1.17322277388e+12,1.41696989506e+15,27075172543.5,-1.17322277388e+12,-2.62265641096e+13,-2.66539355085e+14,-763931412702,1.41696989506e+15,-2.66539355085e+14,-8.39060426034e+17,-23214982762.6,3.74554182164e+12,1.93925228191e+13,-1.59611659266e+15,3.74554182164e+12,-2.31311308271e+15,-2.84765672372e+15,1.13846297721e+18,1.93925228191e+13,-2.84765672372e+15,-1.95784086759e+16,1.28604166847e+18,-1.59611659266e+15,1.13846297721e+18,1.28604166847e+18,-7.31720809292e+20
00011,3128552.02515,-1459944168.18,1356987918.52,-1.55124051865e+12,-763931412702,9.67740829663e+14,-1.55124051865e+12,2.79672703332e+14,1.3962435256e+15,-1.28498288658e+17,-763931412702,1.3962435256e+15,-2.50923399145e+14,-8.22509149748e+17,9.67740829663e+14,-1.28498288658e+17,-8.22509149748e+17,2.25649354497e+19,2.1669782356e+12,-1.37958005099e+15,-1.65309062138e+15,7.82679519363e+17,-1.37958005099e+15,5.32831631087e+17,1.09114078748e+18,-2.9798698169e+20,-1.65309062138e+15,1.09114078748e+18,1.38237851399e+18,-6.67354791821e+20,7.82679519363e+17,-2.9798698169e+20,-6.67354791821e+20,2.20592997463e+23
00100,-7121.80545581,149366.525967,-9568522.09112,7002147968.32,2709806150.47,-1.55124051865e+12,7002147968.32,-1.83840477378e+12,-3.13307025902e+12,2.90160646408e+14,2709806150.47,-3.13307025902e+12,-1.20788199012e+12,1.38389353863e+15,-1.55124051865e+12,2.90160646408e+14,1.38389353863e+15,-1.34632642972e+17,-6319995064.36,3.66532267744e+12,3.83328341241e+12,-1.3569457492e+15,3.66532267744e+12,-1.38731240135e+15,-2.21500827547e+15,5.49933370951e+17,3.83328341241e+12,-2.21500827547e+15,-3.05070722835e+15,1.05926080596e+18,-1.3569457492e+15,5.49933370951e+17,1.05926080596e+18,-3.27669661367e+20
00101,-14911857.6107,-6502562627.3,7045200792.14,-1.83840477378e+12,-3.17515432372e+12,2.79672703332e+14,-1.83840477378e+12,5.14345341652e+15,1.17539521811e+14,-1.34526900717e+18,-3.17515432372e+12,1.17539521811e+14,4.15365892499e+15,1.10612958746e+17,2.79672703332e+14,-1.34526900717e+18,1.10612958746e+17,8.17915640904e+20,3.68734304742e+12,-1.34950496812e+15,-2.26584016104e+15,5.10584501482e+17,-1.34950496812e+15,2.98536768191e+18,5.48687470557e+17,-1.31093472929e+21,-2.26584016104e+15,5.48687470557e+17,2.9048168373e+18,-1.24438042647e+20,5.10584501482e+17,-1.31093472929e+21,-1.24438042647e+20,8.4207563277e+23
00110,16158458.95,5703893261.11,2662494496.96,-3.13307025902e+12,-1.17322277388e+12,1.3962435256e+15,-3.13307025902e+12,1.17539521811e+14,4.08797327216e+15,9.30595536465e+16,-1.17322277388e+12,4.08797327216e+15,-1.92052085892e+15,-1.98956661392e+18,1.3962435256e+15,9.30595536465e+16,-1.98956661392e+18,-2.03465735771e+20,3.78427684621e+12,-2.24082102081e+15,-2.95184884067e+15,1.08270061367e+18,-2.24082102081e+15,5.78832631858e+17,2.75816734193e+18,-1.67886798818e+20,-2.95184884067e+15,2.75816734193e+18,1.62190038943e+18,-1.70414461257e+21,1.08270061367e+18,-1.67886798818e+20,-1.70414461257e+21,2.35077596601e+22
00111,7222796955.15,4.47376708443e+12,-1.58334781621e+12,2.90160646408e+14,1.41696989506e+15,-1.28498288658e+17,2.90160646408e+14,-1.34526900717e+18,9.30595536465e+16,8.11587881486e+20,1.41696989506e+15,9.30595536465e+16,-2.02748386236e+18,-2.09575661454e+20,-1.28498288658e+17,8.11587881486e+20,-2.09575661454e+20,-5.15533913198e+23,-1.39241880179e+15,5.26408808725e+17,1.11167426623e+18,-2.8970561128e+20,5.26408808725e+17,-1.31013389162e+21,-1.53719732538e+20,8.05715040559e+23,1.11167426623e+18,-1.53719732538e+20,-1.80073187424e+21,-3.25001873715e+21,-2.8970561128e+20,8.05715040559e+23,-3.25001873715e+21,-6.31768237973e+26
01000,25845.8163889,7000832.91765,-30509086.9885,2709806150.47,27075172543.5,-763931412702,2709806150.47,-3.17515432372e+12,-1.17322277388e+12,1.41696989506e+15,27075172543.5,-1.17322277388e+12,-2.62265641096e+13,-2.66539355085e+14,-763931412702,1.41696989506e+15,-2.66539355085e+14,-8.39060426034e+17,-23214982762.6,3.74554182164e+12,1.93925228191e+13,-1.59611659266e+15,3.74554182164e+12,-2.31311308271e+15,-2.84765672372e+15,1.13846297721e+18,1.93925228191e+13,-2.84765672372e+15,-1.95784086759e+16,1.28604166847e+18,-1.59611659266e+15,1.13846297721e+18,1.28604166847e+18,-7.31720809292e+20
01001,16158458.95,5703893261.11,2662494496.96,-3.13307025902e+12,-1.17322277388e+12,1.3962435256e+15,-3.13307025902e+12,1.17539521811e+14,4.08797327216e+15,9.30595536465e+16,-1.17322277388e+12,4.08797327216e+15,-1.92052085892e+15,-1.98956661392e+18,1.3962435256e+15,9.30595536465e+16,-1.98956661392e+18,-2.03465735771e+20,3.78427684621e+12,-2.24082102081e+15,-2.95184884067e+15,1.08270061367e+18,-2.24082102081e+15,5.78832631858e+17,2.75816734193e+18,-1.67886798818e+20,-2.95184884067e+15,2.75816734193e+18,1.62190038943e+18,-1.70414461257e+21,1.08270061367e+18,-1.67886798818e+20,-1.70414461257e+21,2.35077596601e+22
01010,-83350915.4271,-40419525430.9,27114037431.6,-1.20788199012e+12,-2.62265641096e+13,-2.50923399145e+14,-1.20788199012e+12,4.15365892499e+15,-1.92052085892e+15,-2.02748386236e+18,-2.62265641096e+13,-1.92052085892e+15,5.42400547209e+16,1.66440204004e+18,-2.50923399145e+14,-2.02748386236e+18,1.66440204004e+18,2.07415429288e+21,1.96402195279e+13,-2.85330648275e+15,-1.94307677569e+16,1.27404370154e+18,-2.85330648275e+15,2.93396645818e+18,1.43699430691e+18,-1.81797799247e+21,-1.94307677569e+16,1.43699430691e+18,3.80415342519e+19,-8.96719832909e+20,1.27404370154e+18,-1.81797799247e+21,-8.96719832909e+20,1.88748971035e+24
01011,-10234491267,-3.75695951755e+12,-730651472051,1.38389353863e+15,-2.66539355085e+14,-8.22509149748e+17,1.38389353863e+15,1.10612958746e+17,-1.98956661392e+18,-2.09575661454e+20,-2.66539355085e+14,-1.98956661392e+18,1.66440204004e+18,2.04803304665e+21,-8.22509149748e+17,-2.09575661454e+20,2.04803304665e+21,1.82776691614e+23,-1.65436767315e+15,1.09405917365e+18,1.35937346206e+18,-6.67282572753e+20,1.09405917365e+18,-1.51943224115e+20,-1.71948354498e+21,4.88753418945e+21,1.35937346206e+18,-1.71948354498e+21,-1.01866354665e+21,1.77431681572e+24,-6.67282572753e+20,4.88753418945e+21,1.77431681572e+24,-1.82555182233e+25
01100,3128552.02515,-1459944168.18,1356987918.52,-1.55124051865e+12,-763931412702,9.67740829663e+14,-1.55124051865e+12,2.79672703332e+14,1.3962435256e+15,-1.28498288658e+17,-763931412702,1.3962435256e+15,-2.50923399145e+14,-8.22509149748e+17,9.67740829663e+14,-1.28498288658e+17,-8.22509149748e+17,2.25649354497e+19,2.1669782356e+12,-1.37958005099e+15,-1.65309062138e+15,7.82679519363e+17,-1.37958005099e+15,5.32831631087e+17,1.09114078748e+18,-2.9798698169e+20,-1.65309062138e+15,1.09114078748e+18,1.38237851399e+18,-6.67354791821e+20,7.82679519363e+17,-2.9798698169e+20,-6.67354791821e+20,2.20592997463e+23
01101,7222796955.15,4.47376708443e+12,-1.58334781621e+12,2.90160646408e+14,1.41696989506e+15,-1.28498288658e+17,2.90160646408e+14,-1.34526900717e+18,9.30595536465e+16,8.11587881486e+20,1.41696989506e+15,9.30595536465e+16,-2.02748386236e+18,-2.09575661454e+20,-1.28498288658e+17,8.11587881486e+20,-2.09575661454e+20,-5.15533913198e+23,-1.39241880179e+15,5.26408808725e+17,1.11167426623e+18,-2.8970561128e+20,5.26408808725e+17,-1.31013389162e+21,-1.53719732538e+20,8.05715040559e+23,1.11167426623e+18,-1.53719732538e+20,-1.80073187424e+21,-3.25001873715e+21,-2.8970561128e+20,8.05715040559e+23,-3.25001873715e+21,-6.31768237973e+26
01110,-10234491267,-3.75695951755e+12,-730651472051,1.38389353863e+15,-2.66539355085e+14,-8.22509149748e+17,1.38389353863e+15,1.10612958746e+17,-1.98956661392e+18,-2.09575661454e+20,-2.66539355085e+14,-1.98956661392e+18,1.66440204004e+18,2.04803304665e+21,-8.22509149748e+17,-2.09575661454e+20,2.04803304665e+21,1.82776691614e+23,-1.65436767315e+15,1.09405917365e+18,1.35937346206e+18,-6.67282572753e+20,1.09405917365e+18,-1.51943224115e+20,-1.71948354498e+21,4.88753418945e+21,1.35937346206e+18,-1.71948354498e+21,-1.01866354665e+21,1.77431681572e+24,-6.67282572753e+20,4.88753418945e+21,1.77431681572e+24,-1.82555182233e+25
01111,-8.97246177023e+12,-6.21494886067e+15,9.9085992929e+14,-1.34632642972e+17,-8.39060426034e+17,2.25649354497e+19,-1.34632642972e+17,8.17915640904e+20,-2.03465735771e+20,-5.15533913198e+23,-8.39060426034e+17,-2.03465735771e+20,2.07415429288e+21,1.82776691614e+23,2.25649354497e+19,-5.15533913198e+23,1.82776691614e+23,6.46268431939e+26,8.11482292198e+17,-2.8963670959e+20,-6.92398905865e+20,2.0808917847e+23,-2.8963670959e+20,8.21881231465e+23,3.14168829339e+21,-6.25541632901e+26,-6.92398905865e+20,3.14168829339e+21,1.84378912885e+24,-6.62243805686e+24,2.0808917847e+23,-6.25541632901e+26,-6.62243805686e+24,7.70236905152e+29
10000,-23978.6474292,-66440606.4802,39922103.8916,-6319995064.36,-23214982762.6,2.1669782356e+12,-6319995064.36,3.68734304742e+12,3.78427684621e+12,-1.39241880179e+15,-23214982762.6,3.78427684621e+12,1.96402195279e+13,-1.65436767315e+15,2.1669782356e+12,-1.39241880179e+15,-1.65436767315e+15,8.11482292198e+17,240301254299,-3.24934046903e+13,-1.48998096481e+14,8.83799192342e+15,-3.24934046903e+13,2.31849069099e+16,1.75657824005e+16,-9.09144436526e+18,-1.48998096481e+14,1.75657824005e+16,1.46752666571e+17,-6.51829088055e+18,8.83799192342e+15,-9.09144436526e+18,-6.51829088055e+18,6.34495736094e+21
